rank,value_rating,model,price,signature,tone_grade,technical_grade,driver_type
B-,-1,Aroma Early,600,Neutral with bass boost,B,B-,1BA 1DD
B-,-1,Clear Tune Monitors CT-6E,1000,Neutral,B-,B,6BA
B-,-1,Dita Sakura 71,-1,V-shaped,B-,B,DD
B-,1,DUNU Titan 1,110,Bright,B,B-,DD
B-,1,DUNU Titan 3,140,Bright neutral,B-,B,DD
B-,-1,Earsonics Purple,1500,Neutral,B-,B,5BA
B-,-1,Eternal Melody EM-5,900,Warm,B,B-,5BA
B-,-1,Fatfreq Hayabusa,1320,Mild V-shape,B-,B,8BA
B-,-1,Fearless Shangri-la,230,V-shaped,B-,B,4BA 1DD
B-,-1,FiiO FA9,450,Neutral,B,B-,6BA
B-,-1,Final Audio B3,500,Warm neutral,B,B-,2BA
B-,-1,InEar StageDiver SD-2,400,Neutral,B,B-,2BA
B-,1,QoA Adonis,220,Mild V-shape,B,B-,2BA 1DD
B-,1,Shanling ME200,180,V-shaped,B,B-,1BA 1DD
B-,-1,Tralucent 1 Plus 2.2,-1,Bright V-shape,B,B-,2BA 1DD
B-,-1,Unique Melody Miracle V2,1050,Mild V-shape,B-,B,6BA
B-,-1,VSonic GR07 Bass Edition,-1,Neutral,B-,B,DD
B-,-1,Meze Rai Penta,1100,Warm V-shape,B,B-,4BA 1DD
B-,-1,VSonic GR07 Classic,-1,Mild V-shape,B-,B,DD
B-,1,Apple AirPods Pro,250,Neutral,B,B-,DD
B-,-1,Aroma Witch Girl S,900,Warm,C+,B+,5BA
B-,-1,Sennheiser IE800S,1200,Warm,C+,B+,DD
B-,1,Shure Aonic 4,260,Neutral with bass boost,B+,C+,1BA 1DD
B-,-1,Sennheiser IE800,800,Warm,C+,B+,DD
B-,-1,Westone W80,1500,Warm neutral,C+,B+,8BA
B-,3,CCA CRA,14,U-shaped,B+,C+,DD
B-,-1,Aroma Ace,3700,Neutral,C,A-,12BA
B-,-1,Hifiman RE400,-1,Bright neutral,A-,C,DD
B-,1,NXEars Sonata,200,Neutral,A-,C,BA
B-,1,Ambient Dynamics AD-006 “Lyndale”,200,Warm neutral,B-,B-,1BA 1DD
B-,-1,Anthem Five E4,400,Neutral with bass boost,B-,B-,4BA
B-,-1,Aure Elixir,2000,Mild V-shape,B-,B-,3BA 1DD
B-,-1,Aure Flame,2000,Mild V-shape,B-,B-,?
B-,-1,Craft Ears Argentum,850,V-shaped,B-,B-,2BA 1DD
B-,-1,Fatfreq Reference Pro,370,Neutral,B-,B-,3BA
B-,-1,INAIR M360,140,V-shaped,B-,B-,DD
B-,-1,qdc Fusion,920,Warm,B-,B-,4BA 1DD
B-,1,qdc Neptune,200,Warm neutral,B-,B-,BA
B-,1,qdc Uranus,200,Warm,B-,B-,1BA 1DD
B-,-1,Shanling ME700 Lite,500,Neutral,B-,B-,4BA 1DD
B-,-1,Tin HiFi P2,350,Warm U-shape,B-,B-,Planar
B-,1,ikko OH1,140,V-shaped,B-,B-,1BA 1DD
B-,-1,Ultimate Ears UE6 Pro,700,Balanced,B-,B-,1BA 2DD
C+,-1,Empire Ears Wraith,3500,Dark neutral,C+,B,4EST 7BA
C+,2,BLON BL03,38,Warm V-shape,B,C+,DD
C+,-1,Itsfit Fusion,950,Balanced,C+,B,1MS 2BA 1DD
C+,1,Urbanfun YBF-ISS014,60,V-shaped,C+,B,DD
C+,1,Shozy Form 1.1,75,Warm neutral,B,C+,1BA 1DD
C+,-1,Shozy Form 1.4,200,Warm neutral,B,C+,4BA 1DD
C+,1,ThieAudio Legacy 3 (L3),130,Neutral,B,C+,2BA 1DD
C+,-1,BGVP DM6,200,Warm V-shape,C+,B,5BA
C+,-1,Campfire Polaris V1,600,V-shaped,C+,B,1BA 1DD
C+,-1,Fearless HyperS 12BA,900,DF-neutral,C+,B,12BA
C+,-1,Fearless S10 Genie,700,DF-neutral,C+,B,10BA
C+,-1,FiiO FH7,450,V-shaped,C+,B,4BA 1DD
C+,-1,Alclair Electro,1500,Neutral with bass boost,B,C+,2EST 4BA
C+,-1,Alclair Studio4,950,Mild V-shape,B,C+,4BA
C+,-1,Aroma Twins,1700,Variable,C+,B,7BA
C+,-1,Astell & Kern T9iE,1300,U-shaped,C+,B,DD
C+,-1,DUNU Falcon Pro,220,Warm,C+,B,DD
C+,-1,EarFun x Oluv Free Pro,-1,Dark neutral,B,C+,DD
C+,-1,Empire Ears Phantom LE,2500,Warm,C+,B,5BA
C+,-1,Fender Ten 5,1200,Neutral with bass boost,B,C+,5BA 1DD
C+,-1,FiiO FD5,350,V-shaped,C+,B,DD
C+,-1,FitEar Monet 17,1550,Warm V-shape,C+,B,4BA
C+,-1,ikko OH10,200,V-shaped,C+,B,1BA 1DD
C+,-1,Lime Ears Aether R,1350,Variable,C+,B,6BA
C+,-1,SeeAudio Bravery,280,Neutral with bass boost,B,C+,4BA
C+,-1,Shozy Black Hole,800,Bright,C+,B,DD
C+,-1,Sony MDR-EX600,200,Balanced,C+,B,DD
C+,-1,Soranik SP3,250,Bright V-shape,C+,B,3BA
C+,-1,Tansio Mirai TSMR-3 Pro,200,Variable,B,C+,3BA
C+,-1,Tansio Mirai TSMR-5,430,Warm V-shape,B,C+,5BA
C+,-1,Tralucent 1 Plus 1.2,650,Warm,B,C+,1BA 1DD
C+,1,Tripowin x HBB Mele,50,V-shaped,B,C+,DD
C+,-1,Unique Melody Mini MEST,600,V-shaped,C+,B,1BC 3BA
C+,-1,Vision Ears VE6,1500,Warm neutral,C+,B,6BA
C+,1,Whizzer A15 Pro,120,DF-neutral,B,C+,DD
C+,-1,Stealthsonics U9,1100,Neutral,C+,B,8BA 1DD
C+,1,KZ E10,60,DF-neutral,B,C+,4BA 1DD
C+,2,QCY T5,35,Neutral,B,C+,DD
C+,-1,Campfire Jupiter,800,Balanced,C+,B,4BA
C+,-1,FAudio Major,1400,V-shaped,C,B+,DD
C+,-1,FitEar Private 333,1500,Bright,C,B+,3BA
C+,-1,JVC HA-FX99X-B,170,Neutral with bass boost,B+,C,DD
C+,1,Lypertek Bevi,50,Neutral,B+,C,BA
C+,-1,Mangird MT4,200,Neutral with bass boost,B+,C,3BA 1DD
C+,-1,Whizzer HE01,80,V-shaped,B+,C,DD
C+,-1,Kumitate KL-REF Type-S,1350,Variable,C,B+,3BA 2DD
C+,-1,ThieAudio Voyager 3 (V3),160,Warm V-shape,C+,B-,3BA
C+,1,NiceHCK NX7 Pro,132,Bright V-shape,C+,B-,1Piezo 4BA 2DD
C+,-1,Tanchjim Hana,160,Mild V-shape,C+,B-,DD
C+,-1,AAW A3H Pro V2,370,Warm,B-,C+,2BA 1DD
C+,-1,Campfire Atlas,1300,Bassy,C+,B-,DD
C+,-1,Campfire Dorado,1000,Warm,B-,C+,2BA 1DD
C+,-1,Campfire Vega,1300,V-shaped,C+,B-,DD
C+,-1,Elysian Artemis,600,Warm,B-,C+,3BA
C+,2,Final Audio E1000,30,Neutral,B-,C+,DD
C+,1,Final Audio E2000,45,V-shaped,B-,C+,DD
C+,1,Final Audio E3000,55,Warm,B-,C+,DD
C+,-1,Final Audio E4000,180,V-shaped,B-,C+,DD
C+,-1,Final Audio E5000,280,Warm,B-,C+,DD
C+,-1,iBasso IT01S,200,V-shaped,C+,B-,DD
C+,-1,1Custom SA05,-1,Warm V-shape,B-,C+,5BA
C+,-1,AAW A3H Plus,250,Warm neutral,B-,C+,2BA 1DD
C+,-1,AAW Halcyon,1500,Warm V-shape,B-,C+,4EST 2BA 1DD
C+,-1,AAW x Custom Art Project 4+2,750,Variable,B-,C+,4BA 2DD
C+,1,Anker Soundcore Liberty Air 2,100,U-shaped,B-,C+,DD
C+,-1,Craft Ears Cuprum,800,U-shaped,C+,B-,2BA 1DD
C+,-1,Custom Art FIBAE 4,900,Warm,C+,B-,4BA
C+,-1,DUNU DN-1000,200,Neutral,B-,C+,2BA 1DD
C+,-1,Eartech Triple Driver,450,Warm,C+,B-,3BA
C+,-1,Eternal Melody EM-5H,750,Dark,C+,B-,5BA
C+,1,FiiO FH3,150,V-shaped,C+,B-,2BA 1DD
C+,3,Final Audio E500,20,Neutral,B-,C+,DD
C+,-1,HYLA Nerva-X,2750,Warm,B-,C+,10BA
C+,-1,IMR Zenith,550,Variable,B-,C+,1Piezo 1DD
C+,-1,JH Audio JH16v2,1300,Warm V-shape,C-,A-,10BA
C+,-1,JH Audio Rosie,1000,Warm V-shape,B-,C+,6BA
C+,-1,JH Audio Roxanne 2,2300,Warm V-shape,C-,A-,12BA
C+,-1,KBEar Aurora,170,V-shaped,B-,C+,DD
C+,2,Moondrop Spaceship,20,Warm DF-neutral,C+,B-,DD
C+,1,NiceHCK NX7 Mk3,120,U-shaped,C+,B-,1Piezo 4BA 2DD
C+,-1,qdc 3SH,500,Warm,B-,C+,3BA
C+,1,Shuoer Tape,130,V-shaped,C+,B-,MS
C+,1,Tanchjim Cora,50,V-shaped,B-,C+,DD
C+,-1,Tralucent 1+Xplus,1200,U-shaped,C+,B-,1Planar 1BA 1DD
C+,1,Intime Sora,45,U-shaped,B-,C+,DD
C+,-1,Oriolus Forsteni,375,U-shaped,C+,B-,2BA 1DD
C+,1,Periodic Audio Mg,100,Warm,B-,C+,DD
C+,-1,TFZ King Pro,170,V-shaped,C+,B-,DD
C+,1,Tin HiFi T2,50,Neutral,B-,C+,2DD
C+,1,Tin HiFi T3,80,Mild V-shape,B-,C+,1BA 1DD
C+,-1,Fostex TM2,300,V-shaped,C+,B-,DD
C+,1,Anker Soundcore Liberty 2 Pro,150,V-shaped,B-,C+,1BA 1DD
C+,1,Edifier TWS5,80,V-shaped,B-,C+,DD
C+,1,Final Audio Heaven II,90,Bright neutral,B-,C+,BA
C+,-1,Vive XE800,-1,Mild V-shape,B-,C+,DD
C+,-1,Sennheiser Momentum True Wireless 3,250,Warm,B-,C+,DD
C+,-1,Audiosense AQ3,180,Bassy,B,C,2BA 1DD
C+,-1,Ambient Acoustics MAD24,3500,Warm,C,B,24BA
C+,1,Audiosense DT100,110,Neutral,B,C,BA
C+,1,Edifier TWS6,120,U-shaped,B,C,BA
C+,-1,Fatfreq Reference,150,Neutral,B,C,BA
C+,-1,JH Audio x L-Acoustics Contour XO,1950,Variable,C,B,10BA
C+,-1,Lark Studio LSX,1700,Warm V-shape,C,B,10BA
C+,-1,MMR Homunculus,1700,Warm neutral,C,B,2EST 1BA 1DD
C+,-1,MMR Thummim,4500,V-shaped,C,B,4EST 4BA 1DD
C+,1,Moondrop SSP,40,Warm DF-neutral,C,B,DD
C+,-1,Neusonik direm E3,50,Harman-neutral,B,C,DD
C+,-1,NF Audio NM2+,170,Bright V-shape,C,B,DD
C+,-1,Noble Sage,600,Warm neutral,B,C,2BA
C+,3,Samsung AKG EO-IG955,10,V-shaped,B,C,DD
C+,-1,JH Audio JH13v2 Performance Series,1000,V-shaped,C,B,8BA
C+,-1,JH Audio Angie,1400,Warm V-shape,C-,B+,8BA
C+,1,ThieAudio Legacy 2 (L2),100,Neutral,B+,C-,1BA 1DD
C+,-1,Audio Technica ATH-SPORT7TW,200,U-shaped,C+,C+,DD
C+,1,FiiO F9,100,Bright V-shape,C+,C+,2BA 1DD
C+,-1,iBasso IT03,260,U-shaped,C+,C+,2BA 1DD
C+,-1,1Custom SA03,300,Warm V-shape,C+,C+,3BA
C+,-1,Aroma Star,300,V-shaped,C+,C+,BA
C+,2,CCA C10,40,V-shaped,C+,C+,4BA 1DD
C+,-1,Craft Ears Craft TWO,400,Warm neutral,C+,C+,2BA
C+,-1,DUNU DN-2000,300,Balanced,C+,C+,2BA 1DD
C+,-1,DUNU DN-2002,380,Warm,C+,C+,2BA 2DD
C+,1,FiiO F9 Pro,150,Bright V-shape,C+,C+,2BA 1DD
C+,-1,Final Audio B2,300,Neutral,C+,C+,BA
C+,-1,Final Audio Heaven 4,170,Warm neutral,C+,C+,BA
C+,-1,ikko OH7,950,V-shaped,C+,C+,DD
C+,-1,JVC HA-FW02,370,V-shaped,C+,C+,DD
C+,-1,KBEar TRI I3,200,V-shaped,C+,C+,1BA 1DD 1Planar
C+,-1,LH Stella,1300,Warm U-shaped,C+,C+,2BA 1DD
C+,-1,Meccaudio ME20,300,Neutral,C+,C+,2BA 1DD
C+,1,Moondrop Nekocake,50,Neutral,C+,C+,DD
C+,2,Moondrop Quarks,15,Warm DF-neutral,C+,C+,DD
C+,-1,Neusonik direm PRO,-1,V-shaped,C+,C+,DD
C+,-1,Noble Sultan,2900,V-shaped,C+,C+,2EST 4BA 1DD
C+,-1,NocturnaL Eden,950,Neutral,C+,C+,5BA
C+,-1,Soranik BMT,180,V-shaped,C+,C+,EST DD
C+,2,Tanchjim Tanya,25,Warm DF-neutral,C+,C+,DD
C+,-1,Tin HiFi P1 Plus,170,Warm neutral,C+,C+,Planar
C+,-1,VSonic Ares,200,V-shaped,C+,C+,DD
C+,-1,VSonic VSD1S,-1,Warm,C+,C+,DD
C+,-1,IMR R2 Aten,500,Variable,C+,C+,1Piezo 1DD
C+,1,Shozy & Neo CP,165,Warm,C+,C+,3BA
C+,-1,TFZ Secret Garden,200,V-shaped,C+,C+,2DD
C+,-1,Ultimate Ears UE11 Pro,1150,Bassy,C+,C+,4BA
C+,1,Zero Audio Carbo Tenore ZH-DX200-CT,40,V-shaped,C+,C+,DD
C,-1,Noble Savant 2,500,Warm,B-,C,2BA
C,-1,FiiO FH5s,280,V-shaped,C,B-,2BA 2DD
C,-1,Advanced Evo X,60,Neutral,B-,C,DD
C,-1,Audeze LCDi4 (No Cipher),2500,Balanced,D,S+,Planar
C,-1,FiiO F3,25,U-shaped,B-,C,DD
C,-1,FiiO F5,65,V-shaped,B-,C,DD
C,-1,Aroma Witch Girl Pro,1100,Warm,C,B-,4BA 2DD
C,-1,BGVP ES12,1500,Variable,C,B-,4EST 8BA
C,-1,BQEYZ Spring 1,140,V-shaped,C,B-,1Piezo 1BA 1DD
C,-1,Dita Project 71,-1,Warm,C,B-,DD
C,-1,Eartech Quad Driver,600,Warm,C,B-,4BA
C,-1,Fearless Provence,140,Neutral with bass boost,B-,C,2BA 1DD
C,-1,Final Audio B1,750,V-shaped,C,B-,1BA 1DD
C,-1,Future Sonics MG5HX,875,V-shaped,C,B-,DD
C,-1,ikko OH1S,200,Bright neutral,C,B-,1BA 1DD
C,-1,Mangird Tea,300,Balanced,C,B-,6BA 1DD
C,-1,NocturnaL Gorham,350,V-shaped,B-,C,2BA
C,-1,Sennheiser Momentum True Wireless 2(High-End Sound Tuning mode),350,Neutral with bass boost,B-,C,DD
C,-1,Simgot EK3,350,Bright neutral,C,B-,2BA 1DD
C,-1,Simphonio VR1,2300,Mild V-shape,C,B-,DD
C,-1,Soranik ION-4,350,Neutral with bass boost,C,B-,1EST 2BA 1DD
C,-1,Stax SR-001 Mk1 w/ CES-A1,-1,Neutral,B-,C,Electrostatic
C,-1,Stax SR-001 Mk2,-1,Mid-centric,C,B-,EST
C,-1,Symphonium Aurora,250,Warm neutral,B-,C,2BA
C,-1,Tralucent 1 Plus 5.2,2380,Balanced,C,B-,5BA
C,-1,Massdrop x NuForce EDC3,100,Neutral,B-,C,3BA
C,-1,Oriolus Finschi,180,Bright,B-,C,2BA 1DD
C,-1,AKG N40,400,Variable,B-,C,1BA 1DD
C,-1,Empire Ears Zeus-XIV,2730,Bright neutral,D,S,14BA
C,-1,Audeze LCD-i3 (No Cipher),900,Balanced,D,S,Planar
C,-1,Kumitate KL-Sanka B,1250,Bright U-shape,D+,A-,3BA
C,-1,Kumitate KL-Sanka K,1250,Bright U-shape,D+,A-,3BA
C,-1,IMR RAH,-1,Variable,C-,B,1Piezo 1Planar 1DD
C,-1,Moondrop SSR,40,DF-neutral,C-,B,DD
C,-1,Acoustune HS1503,400,V-shaped,C-,B,DD
C,-1,Audeze iSine 10/20 (No Cipher),400,Unique,D,S-,Planar
C,-1,Empire Ears Phantom,1800,Warm,C-,B,5BA
C,-1,FitEar EST,1300,Warm,B,C-,1EST 1BA
C,-1,Ambient Acoustics MAD16,2500,Warm V-shape,C-,B,16BA
C,-1,InEar StageDiver SD-4,600,Warm V-shape,C-,B,4BA
C,-1,KBEar F1,40,Warm neutral,B,C-,BA
C,-1,Stax SR-002,500,Balanced,C-,B,Electrostatic
C,-1,TRI Starlight,800,U-shaped,C-,B,4EST 2BA 1DD
C,-1,JH Audio Layla,2725,Variable,C-,B,12BA
C,-1,Hifiman RE2000,2000,Mild V-shape,C-,B,DD
C,-1,BLON BL05,43,Bright V-shape,C,C+,DD
C,-1,1Custom SA02,-1,Balanced,C,C+,2BA
C,-1,BGVP DMG,140,Bassy,C+,C,4BA 1DD
C,-1,FiiO FA1,100,Neutral,C+,C,BA
C,-1,Final Audio LAB 1,-1,Warm,C,C+,2BA
C,-1,Focal Sphear,150,Mild V-shape,C+,C,DD
C,-1,64 Audio A2e,500,V-shaped,C,C+,2BA
C,-1,AAW Halycon,1450,Variable,C,C+,4EST 2BA 1DD
C,-1,Azla 01R Mk2,500,V-shaped,C,C+,DD
C,-1,Azla Horizon,300,V-shaped,C,C+,DD
C,-1,Campfire Orion,-1,Warm V-shape,C,C+,BA
C,-1,CCA CSN,15,V-shaped,C+,C,1BA 1DD
C,-1,Clear Tune Monitors CT-200,500,Neutral,C+,C,2BA
C,-1,Custom Art Ei.3,-1,Mild V-shape,C+,C,3BA
C,-1,Custom Art FIBAE 2,550,Warm,C,C+,2BA
C,-1,EarFun x Oluv Free,50,Bassy,C+,C,2DD
C,-1,Eternal Melody EM-6W,-1,Warm,C,C+,6BA
C,-1,Fatfreq 20.8,950,Warm,C,C+,8BA
C,-1,FiiO FH1,90,V-shaped,C+,C,1BA 1DD
C,-1,Final Audio F4100,350,Balanced,C,C+,BA
C,-1,Final Audio F7200,550,Balanced,C,C+,BA
C,-1,Final Audio Heaven 7,700,Neutral,C,C+,BA
C,-1,Final Audio Heaven S,-1,Warm V-shape,C,C+,BA
C,-1,FitEar Aya,1650,Warm,C,C+,BA
C,-1,Grado iGe,100,U-shaped,C+,C,DD
C,-1,Horluchs HL4300,700,Mild V-shape,C,C+,3BA
C,-1,Jomo Salsa,1050,Warm V-shape,C,C+,4BA
C,-1,Klipsch T5 True Wireless,200,Neutral with bass boost,C,C+,DD
C,-1,Kumitate KL-Meteo,850,V-shaped,C,C+,4BA
C,-1,Kumitate KL-Sanka,1200,Warm V-shape,C,C+,3BA
C,-1,KZ EDX Pro,14,V-shaped,C+,C,DD
C,-1,KZ ZAS,80,V-shaped,C,C+,7BA 1DD
C,-1,KZ ZAX,60,V-shaped,C+,C,7BA 1DD
C,-1,KZ ZS10 Pro,50,V-shaped,C+,C,4BA 1DD
C,-1,KZ ZSN Pro X,20,V-shaped,C+,C,1BA 1DD
C,-1,KZ ZSX,50,V-shaped,C+,C,5BA 1DD
C,-1,LG Tone Free,150,U-shaped,C+,C,DD
C,-1,Meze 12 Classics,70,V-shaped,C,C+,DD
C,-1,Monoprice Monolith M-TWE,100,V-shaped,C+,C,DD
C,-1,NocturnaL Avalon,500,Warm V-shape,C,C+,3BA
C,-1,Onkyo E900,-1,V-shaped,C,C+,2BA 1DD
C,-1,QoA Pink Lady,150,V-shaped,C,C+,2BA 1DD
C,-1,QoA Vesper,70,V-shaped,C,C+,1BA 1DD
C,-1,Rhapsodio Infinity Mk2,3600,Warm,C+,C,6BA
C,-1,Shanling ME500,270,V-shaped,C,C+,2BA 1DD
C,-1,Shozy B2,450,Warm,C+,C,DD
C,-1,Shure Aonic 5,450,Neutral,C+,C,3BA
C,-1,Simgot EN700 Pro,150,V-shaped,C+,C,DD
C,-1,Sony WF-XB700,150,U-shaped,C+,C,DD
C,-1,Tansio Mirai Land,600,Variable,C,C+,2EST 3BA 1DD
C,-1,TFZ 2S,50,V-shaped,C+,C,DD
C,-1,TFZ 4S,100,V-shaped,C+,C,DD
C,-1,TFZ Exclusive 1,50,V-shaped,C+,C,DD
C,-1,TFZ Exclusive 5,100,V-shaped,C+,C,DD
C,-1,TFZ Mylove,60,V-shaped,C,C+,DD
C,-1,Tralucent 1 Plus 2.3,2100,Warm V-shape,C,C+,2BA 1DD
C,-1,Venture Electronics BIE,20,V-shaped,C+,C,DD
C,-1,VSonic VC02,-1,Warm U-shape,C,C+,DD
C,-1,Westone W20,350,Warm,C+,C,2BA
C,-1,Yamaha EPH100,-1,V-shaped,C,C+,DD
C,-1,Kinera Odin,800,Neutral,C+,C,8BA
C,-1,Symphonium Audio Aurora,220,Warm neutral,C+,C,2BA
C,-1,Tin Audio T2 Pro,50,Bright neutral,C,C+,2DD
C,-1,VSonic VS7,120,Warm,C+,C,DD
C,-1,Alpha&Delta D6,95,Bright,C+,C,DD
C,-1,Earsonics EM10/Grace,2300,Warm,C+,C,10BA
C,-1,Acoustune HS2000MX “SHO-笙-“,2000,Bright,D,A,DD
C,-1,Custom Art FIBAE 3,625,Mid-centric,C-,B-,3BA
C,-1,Fatfreq 20.6,810,Warm,C-,B-,6BA
C,-1,Fearless Barcelona,120,Bassy,C-,B-,1BA 1DD
C,-1,FitEar Private 222,1050,Bright V-shape,C-,B-,2BA
C,-1,FitEar Private C435,-1,Dark,C-,B-,5BA
C,-1,IMR Aten,550,Variable,C-,B-,Piezo DD
C,-1,VSonic GR01,-1,Neutral,B-,C-,2BA
C,-1,Fearless Roland,1010,Dark,D+,B,2EST 2BA 1DD
C,-1,Audiosense AQ7,500,Unique,D+,B,6BA 1DD
C,-1,JH Audio Lola,1600,Variable,D+,B,6BA 2DD
C,-1,Lear LCM-BD4.2,1030,Bright V-shape,D,A-,4BA 2DD
C,-1,Tin HiFi T2000,110,V-shaped,C,C,2DD
C,-1,Campfire Satsuma,200,Warm,C,C,BA
C,-1,AAW A3H (2019),290,V-shaped,C,C,2BA 1DD
C,-1,Campfire Comet,200,Warm,C,C,BA
C,-1,Creative Aurvana Trio,250,Warm,C,C,3BA
C,-1,Elysian Eros,400,Warm,C,C,2BA
C,-1,Fearless Start,180,V-shaped,C,C,DD
C,-1,FitEar Air 2/Titan,1700,Warm V-shape,C,C,1BA 1DD
C,-1,iBasso IT01,110,V-shaped,C,C,DD
C,-1,Advanced S2000,50,V-shaped,C,C,DD
C,-1,Alclair Versa,350,Warm V-shape,C,C,2BA
C,-1,Alpha & Delta KS3,150,Mid-centric,C,C,DD
C,-1,Atomic Floyd SuperDarts,-1,U-shaped,C,C,1BA 1DD
C,-1,Audio Technica ATH-ANC300TW,200,V-shaped,C,C,DD
C,-1,Audiosense T800,300,V-shaped,C,C,8BA
C,-1,BGVP DMS,150,Warm,C,C,6BA 1DD
C,-1,BGVP DS1 Pro,50,V-shaped,C,C,2BA 1DD
C,-1,BLON BL01,23,V-shaped,C,C,DD
C,-1,BLON BL-A8 Prometheus,85,Warm V-shape,C,C,DD
C,-1,CatEar Mia,80,Bassy,C,C,DD
C,-1,CCA C12,50,V-shaped,C,C,5BA 1DD
C,-1,CCA CST,20,V-shaped,C,C,2DD
C,-1,Dynamic Motion DM200H,180,V-shaped,C,C,1BA 1DD
C,-1,Empire Ears Bravado Mk2,800,Bassy,C,C,2EST 1BA 1DD
C,-1,Fatfreq Musician,150,Warm neutral,C,C,BA
C,-1,Fearless Tequila,400,Neutral,C,C,6BA 1DD
