rank,value_rating,model,price,signature,tone_grade,technical_grade,driver_type
C,-1,FiiO FD1,70,V-shaped,C,C,DD
C,-1,FiiO FH1S,80,V-shaped,C,C,1BA 1DD
C,-1,FitEar Air 2,2050,Warm V-shape,C,C,1BA 1DD
C,-1,FitEar Fitear,900,Warm,C,C,BA
C,-1,Flicker Ear Norma,450,Dark,C,C,4BA
C,-1,iBasso IT00,90,V-shaped,C,C,DD
C,-1,iBasso IT01X,120,V-shaped,C,C,DD
C,-1,iBasso IT03w,260,Bright V-shape,C,C,2BA 1DD
C,-1,IMR R1 Zenith,-1,Variable,C,C,1Piezo 1DD
C,-1,Jomo Jazz,500,Warm neutral,C,C,2BA
C,-1,Jomo x Pantheon Percussion P3,500,V-shaped,C,C,2BA 1DD
C,-1,KBEar TRI I4,70,V-shaped,C,C,1BA 1DD
C,-1,Kinera BD005 Pro,60,Mild U-shape,C,C,1BA 1DD
C,-1,Kinera IDUN Deluxe,-1,Neutral,C,C,2BA 1DD
C,-1,Kinera IDUN,140,Warm neutral,C,C,2BA 1DD
C,-1,KZ BA10,60,V-shaped,C,C,5BA
C,-1,KZ DQ6,30,V-shaped,C,C,3DD
C,-1,KZ ED16,-1,U-shaped,C,C,2BA 1DD
C,-1,KZ ZSN Pro,20,V-shaped,C,C,1BA 1DD
C,-1,MEE M6 Pro,60,V-shaped,C,C,DD
C,-1,NF Audio NF2u,200,Warm neutral,C,C,2BA
C,-1,Noble Savanna,500,Bright neutral,C,C,4BA
C,-1,Nuarl NT110,120,V-shaped,C,C,DD
C,-1,Peacock Audio P1,200,V-shaped,C,C,DD
C,-1,QKZ AK6,10,V-shaped,C,C,DD
C,-1,QoA Mojito,400,Neutral,C,C,6BA
C,-1,RHA MA750,100,Mild V-shape,C,C,DD
C,-1,RHA T20i,200,V-shaped,C,C,DD
C,-1,RHA TrueConnect,100,U-shaped,C,C,DD
C,-1,Satolex Tubomi DH298-A1Bk,50,V-shaped,C,C,DD
C,-1,Satolex Tubomi DH302-A1Bs,130,V-shaped,C,C,DD
C,-1,Satolex Tubomi DH310-A1SS,200,V-shaped,C,C,DD
C,-1,Satolex Tumuri DH303-A1,100,V-shaped,C,C,DD
C,-1,Shuoer H27,110,V-shaped,C,C,2BA 1DD
C,-1,Sony XBA-300,300,V-shaped,C,C,3BA
C,-1,Sony XBA-40,-1,V-shaped,C,C,4BA
C,-1,Soundmagic E11,40,Mild U-shape,C,C,DD
C,-1,Symphonium Mirage,170,Warm,C,C,BA
C,-1,Technics EAH-AZ70W,250,U-shaped,C,C,DD
C,-1,TFZ Balance 2M,200,V-shaped,C,C,DD
C,-1,TFZ Exclusive 3,60,V-shaped,C,C,DD
C,-1,TFZ Tequila 1,150,V-shaped,C,C,2DD
C,-1,TFZ Ti Galaxy,30,V-shaped,C,C,DD
C,-1,Tiandirenhe TD1,25,V-shaped,C,C,DD
C,-1,Tin HiFi T1 Plus,30,V-shaped,C,C,DD
C,-1,Tin HiFi T5,130,V-shaped,C,C,DD
C,-1,Tipsy Dunmer Pro,200,Bright V-shape,C,C,2BA 1DD
C,-1,Tipsy Dunmer,120,Bassy,C,C,DD
C,-1,Tripowin TC-01,50,V-shaped,C,C,DD
C,-1,TRN V90,50,V-shaped,C,C,4BA 1DD
C,-1,Unknown Custom UCD-2,220,Warm V-shape,C,C,2BA
C,-1,Whizzer A15,70,Warm U-shape,C,C,DD
C,-1,Zero Audio Carbo Basso ZH-DX210-CB,50,V-shaped,C,C,DD
C,-1,Zero Audio Duoza ZH-DWX10,100,Warm V-shape,C,C,2DD
C,-1,JH Billie Jean,350,V-shaped,C,C,2BA
C,-1,JVC HA-FW01,380,Dark,C,C,DD
C,-1,NuForce HEM1,150,Neutral,C,C,BA
C,-1,Oriveti New Primacy,300,Warm neutral,C,C,2BA 1DD
C,-1,Rose BR5 Mk2,305,Neutral,C,C,5BA
C,-1,Shure SE535,500,Neutral,C,C,3BA
C,-1,Simgot EN700,100,Bright V-shape,C,C,DD
C,-1,Stealthsonics U2,250,V-shaped,C,C,1BA 1DD
C,-1,TFZ 5S,80,V-shaped,C,C,DD
C,-1,"Ultimate Ears Triple Fi 10 ""TF10""",-1,Warm,C,C,3BA
C,-1,KZ S2,50,V-shaped,C,C,1BA 1DD
C,-1,Edifier TWS1,50,V-shaped,C,C,DD
C,-1,AAW W100,-1,V-shaped,C,C,DD
C,-1,AVIOT TE-D01b/TE-D01d,177,V-shaped,C,C,DD
C,-1,Campfire Lyra II,700,V-shaped,C,C,DD
C,-1,Earsonics SM3,-1,Warm,C,C,3BA
C,-1,Fostex TE100,1800,Warm neutral,C,C,1BA 1DD
C,-1,JH Michelle,500,Warm,C,C,3BA
C,-1,MEE Pinnacle P1,200,Warm V-shape,C,C,DD
C,-1,Nuarl NT01,150,Warm V-shape,C,C,DD
C,-1,Nuarl NT100,100,V-shaped,C,C,DD
C,-1,TFZ King,100,V-shaped,C,C,DD
C,-1,QKZ VK4,20,V-shaped,C,C,DD
C-,-1,FiiO FA7,300,Warm,C-,C+,4BA
C-,-1,Acoustune HS1003,-1,V-shaped,C-,C+,DD
C-,-1,Advanced M4,40,V-shaped,C+,C-,DD
C-,-1,Audio Technica ATH-IM03,450,Warm V-shape,C-,C+,3BA
C-,-1,Audio Technica ATH-LS300,400,Warm V-shape,C-,C+,3BA
C-,-1,Audio Technica ATH-LS400,580,Warm V-shape,C-,C+,4BA
C-,-1,AZLA Orta,130,V-shaped,C-,C+,DD
C-,-1,CCA C16,100,V-shaped,C-,C+,8BA
C-,-1,Clear Tune Monitors CT-500 Elite,800,Balanced,C-,C+,5BA
C-,-1,Custom Art FIBAE 1,-1,Bright,C-,C+,BA
C-,-1,Earsonics ES2,300,Mid-centric,C-,C+,2BA
C-,-1,Earsonics ES3,400,U-shaped,C-,C+,3BA
C-,-1,Final Audio FI-DO6SS ANT20,-1,Warm,C-,C+,BA
C-,-1,Final Audio Heaven 8,700,Warm,C-,C+,BA
C-,-1,Gold Planar GL20,150,Warm,D-,A+,Planar
C-,-1,Hidizs Mermaid MS4,250,V-shaped,C-,C+,3BA 1DD
C-,-1,HUM TT,500,Neutral,C+,C-,2BA
C-,-1,IMR R1,550,Variable,C-,C+,2DD
C-,-1,InEar StageDiver SD-3,600,Warm,C-,C+,3BA
C-,-1,Noble Dulce Bass,700,Warm V-shape,C-,C+,5BA
C-,-1,Shozy Black Hole Mini,650,Warm V-shape,C-,C+,DD
C-,-1,Tin HiFI T1,36,Warm,C+,C-,DD
C-,-1,VSonic VSD2S,-1,Warm V-shape,C-,C+,DD
C-,-1,VSonic VSD3S,-1,U-shaped,C-,C+,DD
C-,-1,Tin HiFi P1,170,Warm neutral,C+,C-,Planar
C-,-1,Ultimate Ears UE5 Pro,600,Warm,C+,C-,2BA
C-,-1,Jabra Elite 75t,180,U-shaped,C-,C+,DD
C-,-1,HarmonicDyne P.D.1,380,U-shaped,D+,B-,1Planar 1DD
C-,-1,Acoustune HS1001,-1,V-shaped,D+,B-,DD
C-,-1,Earsonics ES5,1150,Balanced,D+,B-,5BA
C-,-1,Earsonics Velvet,850,U-shaped,D+,B-,3BA
C-,-1,FitEar Private 223,1030,Bright,D+,B-,3BA
C-,-1,Meze Rai Solo,200,V-shaped,D+,B-,DD
C-,-1,FiR M2,800,V-shaped,D,B,1BA 1DD
C-,-1,AAW Nightingale,1000,Balanced,D,B,Planar
C-,-1,Earsonics S-EM9,1500,Balanced,D,B,9BA
C-,-1,EarWerkz Legend Omega,-1,Warm,D,B,8BA
C-,-1,Fender FXA9,1300,Dark,D,B,6BA
C-,-1,Tipsy Aurora,80,Warm neutral,B,D,BA
C-,-1,Spiral Ears SE5U,2000,Balanced,D,B,5BA
C-,-1,Anthem Five E2,150,Bassy,C,C-,1BA 1DD
C-,-1,1More Quad Driver,200,Balanced,C,C-,3BA 1DD
C-,-1,Advanced M3,80,Bassy,C,C-,DD
C-,-1,Audio Technica ATH-IM01,200,Warm,C-,C,BA
C-,-1,Aurisonics Kicker,-1,V-shaped,C-,C,DD
C-,-1,Brainwavz B400,150,Neutral,C,C-,4BA
C-,-1,Campfire Solstice,1500,Warm,C-,C,5BA
C-,-1,Cardas A8,350,Balanced,C-,C,DD
C-,-1,Cayin YB04,500,Balanced,C-,C,4BA
C-,-1,Custom Art FIBAE ME,800,Warm,C-,C,6BA
C-,-1,Custom Art Pro330v2,-1,Warm,C-,C,3BA
C-,-1,Eternal Melody EM-4,-1,Balanced,C-,C,4BA
C-,-1,Eternal Melody EM-6,-1,Balanced,C-,C,6BA
C-,-1,Fatfreq Eden,220,Balanced,C-,C,2BA
C-,-1,Fatfreq Musician Plus,220,Warm,C-,C,2BA
C-,-1,Fatfreq Musician Pro,370,Warm,C-,C,3BA
C-,-1,Fatfreq Reference Plus,220,Warm neutral,C-,C,2BA
C-,-1,Grado GR8,300,Warm neutral,C-,C,DD
C-,-1,Heir Audio Tzar 350,-1,Bright,C-,C,2BA
C-,-1,HiBy WH3,150,V-shaped,C-,C,1BA 1DD
C-,-1,Kinera SIF,30,V-shaped,C-,C,DD
C-,-1,KZ AS10,50,V-shaped,C-,C,5BA
C-,-1,KZ ES4,30,V-shaped,C-,C,1BA 1DD
C-,-1,KZ ZS5,30,Bright U-shape,C-,C,2BA 2DD
C-,-1,KZ ZS6,50,Bright U-shape,C-,C,2BA 2DD
C-,-1,KZ ZSR,40,Bright U-shape,C-,C,4BA 2DD
C-,-1,MUNITIO Bullet In-Ear,-1,V-shaped,C-,C,DD
C-,-1,Phonak PFE,-1,Warm,C,C-,2BA
C-,-1,Pioneer SE-CX9,300,Bassy,C,C-,Exciter BA
C-,-1,Shozy Rouge,180,V-shaped,C-,C,2BA 1DD
C-,-1,Shure SE425,300,Neutral,C-,C,2BA
C-,-1,TRN BA5,70,V-shaped,C,C-,5BA
C-,-1,Ultimate Ears UE900S,400,Warm,C-,C,4BA
C-,-1,Westone W30,400,Warm,C-,C,3BA
C-,-1,Zero Audio Carbo Doppio ZH-BX700,250,Neutral,C,C-,2BA
C-,-1,Sennheiser IE40 Pro,100,Neutral,C,C-,DD
C-,-1,Sennheiser Momentum True Wireless,300,V-shaped,C-,C,DD
C-,-1,Shanling ME100,120,V-shaped,C-,C,DD
C-,-1,Stealthsonics U4,500,Warm,C-,C,4BA
C-,-1,Ultimate Ears Live,2200,Warm,C,C-,6BA 1DD
C-,-1,AAW Nebula Two,150,U-shaped,C,C-,1BA 1DD
C-,-1,Campfire Nova,500,Neutral with laid-back treble,C-,C,2BA
C-,-1,Fostex TE-02WP,-1,Neutral-bright,C,C-,DD
C-,-1,Heygears Anora,80,Neutral with laid-back treble,C,C-,BA
C-,-1,"Super Audio ""Supermeme"" 2BA+2DD",150,V-shaped,C-,C,2BA 2DD
C-,-1,HiBy Crystal6,-1,Bright V-shape,D+,C+,6BA
C-,-1,Kumitate KL-Kanon,1250,Variable,D+,C+,4BA
C-,-1,Shuoer Singer,70,V-shaped,D+,C+,EST DD
C-,-1,Shuoer Tape Pro,130,V-shaped,D+,C+,DD
C-,-1,Tin HiFi T2 Evo,60,Bright V-shape,D+,C+,DD
C-,-1,Yinyoo Ash,20,V-shaped,D+,C+,1BA 1DD
C-,-1,Cayin Fantasy,800,Bright,D,B-,DD
C-,-1,Earsonics EM32,1100,U-shaped,D,B-,3BA
C-,-1,JH Audio Jolene,1800,Variable,D,B-,8BA 4DD
C-,-1,Ocharaku Flat-4 Akakeyaki,800,Bright,D,B-,2DD
C-,-1,Ocharaku Flat-4 Akazakura,800,Bright V-shape,D,B-,2DD
C-,-1,Ocharaku Flat-4 Kaede Type 1,-1,Bright V-shape,D,B-,2DD
C-,-1,Ocharaku Flat-4 Kaede Type 2,750,Bright,D,B-,2DD
C-,-1,Ocharaku Flat-4 Ti Plus,1000,Bright V-shape,D,B-,2DD
C-,-1,UFOEar UFO-111,200,U-shaped,D,B-,1BA 1DD
C-,-1,Rhapsodio Zombie,1800,Bassy,D,B-,8BA 1DD
C-,-1,Advanced Elise,30,Bassy,C-,C-,DD
C-,-1,Campfire Polaris V2,500,Bassy,C-,C-,1BA 1DD
C-,-1,Elysian Minerva,900,Warm V-shape,C-,C-,4BA
C-,-1,Fearless Crystal Pearl,200,Warm,C-,C-,2BA
C-,-1,1More Dual Driver,-1,Warm,C-,C-,1BA 1DD
C-,-1,Advanced 747,60,Bassy,C-,C-,DD
C-,-1,CCA NRA,20,Warm V-shape,C-,C-,1MS 1DD
C-,-1,Clear Tune Monitors CT-300 Pro,600,Warm,C-,C-,3BA
C-,-1,I-INTO i8,25,Balanced,C-,C-,3DD
C-,-1,KZ ZEX,20,Warm V-shape,C-,C-,1MS 1DD
C-,-1,KZ ZS3,10,V-shaped,C-,C-,DD
C-,-1,Meccaudio ME-04,-1,Neutral,C-,C-,4BA
C-,-1,Noble Django,1000,Warm,C-,C-,6BA
C-,-1,Pai Audio DM2A,140,V-shaped,C-,C-,2BA 1DD
C-,-1,Stax SR-001 Mk1,-1,Mid-centric,C-,C-,Electrostatic
C-,-1,TRN MT1,5,V-shaped,C-,C-,DD
C-,-1,Venture Electronics Duke,-1,Warm,C-,C-,DD
C-,-1,WG T-One,100,V-shaped,C-,C-,DD
C-,-1,Zero Audio Carbo Singolo ZH-BS150-CS,170,Warm neutral,C-,C-,BA
C-,-1,Kinera Idun (Deluxe),140,V-shaped,C-,C-,2BA 1DD
C-,-1,Oriveti Basic,100,Bassy,C-,C-,DD
C-,-1,Sennheiser Momentum In-Ear,100,V-shaped,C-,C-,DD
C-,-1,Westone 4R,-1,Dark,C-,C-,4BA
C-,-1,"Whizzer A-HE03 ""Kylin""",160,Warm V-shape,C-,C-,2BA 1DD
C-,-1,Noble Falcon,156,V-shaped,C-,C-,DD
C-,-1,BGVP Q2,100,Bright neutral,C-,C-,2BA
D+,-1,Advanced M5-5D,650,Bright neutral,D+,C,4BA 1DD
D+,-1,fineEars TSH-HR1000K,70,V-shaped,C,D+,DD
D+,-1,Kennerton Jimo,300,Bassy,D+,C,2DD
D+,-1,KZ ASF,60,V-shaped,D+,C,5BA
D+,-1,KZ ASX,100,V-shaped,D+,C,10BA
D+,-1,KZ S4,-1,V-shaped,D+,C,DD
D+,-1,Noble M3,600,V-shaped,D+,C,1MS 1DD
D+,-1,Ocharaku Co-Donguri Shizuku S2,50,V-shaped,D+,C,DD
D+,-1,Ocharaku Co-Donguri Shizuku,-1,V-shaped,D+,C,DD
D+,-1,Ocharaku Donguri Keyaki,400,Bright V-shape,D+,C,DD
D+,-1,Ocharaku Donguri Ti Plus,500,V-shaped,D+,C,DD
D+,-1,Shure SE315,200,Dark,D+,C,BA
D+,-1,Rose Mini2,110,Warm,C,D+,2BA
D+,-1,Unique Melody ME1,760,Warm,D-,B,Planar
D+,-1,Warbler Prelude,1100,Dark,D+,C,BA
D+,-1,Audio Technica ATH-IEX1,1200,V-shaped,D,C+,2BA 2DD
D+,-1,Jade Audio EA3,50,Bright V-shape,D,C+,1BA 1DD
D+,-1,KBEar Neon,50,Neutral,C+,D,BA
D+,-1,LZ A4 Pro,250,Variable,D,C+,3BA 1DD
D+,-1,Noble Trident,400,Warm V-shape,D,C+,3BA
D+,-1,Hifiman RE1000,1000,V-shaped,D,C+,DD
D+,-1,Advanced GT3 Superbass,200,Balanced,C-,D+,DD
D+,-1,Cozoy Trio,450,Unique,C-,D+,3BA
D+,-1,IMR Semper,1300,Variable,D+,C-,2EST Piezo Planar DD
D+,-1,KZ AS16,125,V-shaped,C-,D+,8BA
D+,-1,Master & Dynamic MW07 Go,200,V-shaped,D+,C-,DD
D+,-1,Master & Dynamic MW07 Plus,300,V-shaped,D+,C-,DD
D+,-1,Master & Dynamic MW07,300,V-shaped,D+,C-,DD
D+,-1,Shure SE215,100,V-shaped,C-,D+,DD
D+,-1,Symphonium Audio Mirage,150,Dark,C-,D+,BA
D+,-1,Tripowin TP10,50,Bright V-shape,D,C,5BA
D+,-1,Westone W40,500,Warm V-shape,D,C,4BA
D+,-1,NXEars Opera,800,Warm,D-,C+,8BA
D+,-1,Fearless S5T,330,Warm,D+,D+,5BA
D+,-1,Unknown Custom Juno,640,Variable,D+,D+,6BA
D+,-1,Unknown Custom Quad 2.0,390,V-shaped,D+,D+,4BA
D+,-1,Westone W60,1000,Warm,D+,D+,6BA
D+,-1,Kinera SEED,50,Balanced,D+,D+,1BA 1DD
D+,-1,Advanced Model X,-1,V-shaped,D+,D+,DD
D+,-1,Jaybirds Vista,180,V-shaped,D+,D+,DD
D,-1,Earsonics Blade,610,Warm,D,C-,2BA 1DD
D,-1,Earsonics Stark,1540,Warm,D,C-,4BA 1DD
D,-1,1More Triple Driver,100,V-shaped,C-,D,2BA 1DD
D,-1,Advanced GT3,200,V-shaped,C-,D,DD
D,-1,Advanced M5-1D,400,V-shaped,C-,D,DD
D,-1,Eternal Melody EM-2,290,V-shaped,C-,D,2BA
D,-1,1More Piston,15,V-shaped,C-,D,DD
D,-1,Advanced Sleeper,20,Bassy,C-,D,DD
D,-1,Aroma Shock,-1,V-shaped,D,C-,2EST 2BA
D,-1,KZ ED Special Edition,7,V-shaped,D,C-,DD
D,-1,LH Verb,40,V-shaped,D,C-,DD
D,-1,LZ A2 Pro,140,V-shaped,D,C-,2BA 1DD
D,-1,MUNITIO Billets,-1,Bassy,D,C-,DD
D,-1,oBravo Cupid,270,V-shaped,D,C-,Planar DD
D,-1,Qudelix Qx-over,30,Bassy,D,C-,2DD
D,-1,RHA CL2,900,V-shaped,D,C-,Planar
D,-1,Shozy x AAW Hibiki SE,-1,V-shaped,D,C-,DD
D,-1,Sennheiser IE80S,350,V-shaped,C-,D,DD
D,-1,Astrotec Delphinus 5,500,Balanced,D-,C,5BA
D,-1,Effect Audio Symphony,890,Warm,D,D+,3BA
D,-1,Campfire Dorado (2020),1100,V-shaped,D,D+,1BA 1DD
D,-1,Ultimate Ears Super.Fi 5 Extra Bass (SF5EB),-1,Bassy,D,D+,1BA 1DD
D,-1,Ambient Acoustics AM7,1750,Variable,D+,D,7BA
D,-1,B&O Beoplay E8,350,Balanced,D+,D,DD
D,-1,Fidue A71,80,Bassy,D+,D,2DD
D,-1,AAW ACH/Kingfisher,190,Warm,D+,D,1Piezo 1BA 1DD
D,-1,CCA A10,60,Bright V-shape,D+,D,5BA
D,-1,Fearless Crystal Ball,200,Warm V-shape,D,D+,2BA
D,-1,HiFi Boy OS V3,150,Warm neutral,D+,D,2BA 1DD
D,-1,Massdrop x MEE Planamic,150,V-shaped,D+,D,Planar
D,-1,Origami Audio Silver,900,Warm,D+,D,DD
D,-1,Sound Linear Fitz 3X,-1,Balanced,D,D+,3BA
D,-1,Westone W50,800,Warm,D,D+,5BA
D,-1,Jomo Haka,365,Dark,D+,D,BA
D,-1,Sennheiser IE500 Pro,600,Dark,D+,D,DD
D,-1,1More Stylish,100,Bassy,D+,D,2DD
D,-1,Audiofly AF160,430,Dark,D,D+,3BA
D,-1,Jomo PLB,510,Dark,D+,D,3BA
D,-1,AAW A2H-Pro V2,220,Dark,C-,D-,1BA 1DD
D,-1,KZ ZST,30,V-shaped,C-,D-,1BA 1DD
D,-1,Ambient Acoustics AM16,-1,Balanced,D,D,16BA
D,-1,Ambient Acoustics AM24,-1,Balanced,D,D,24BA
D,-1,Fearless ACME8,1100,Bassy,D,D,8BA
D,-1,1More Single Driver,40,Bright V-shape,D,D,DD
D,-1,Audio Technica ATH-LS50,60,Bassy,D,D,2DD
D,-1,BGVP Zero,80,Warm,D,D,DD
D,-1,Campfire Equinox,1500,Bassy,D,D,DD
D,-1,FAAEAL Hibiscus,40,Balanced,D,D,DD
D,-1,Future Sonics G10,220,V-shaped,D,D,DD
D,-1,Kinera BD005,30,Bassy,D,D,1BA 1DD
D,-1,NXEars Basso,500,Warm V-shape,D,D,4BA
D,-1,Sennheiser IE80,-1,V-shaped,D,D,DD
D,-1,Unknown Custom UCD-3,270,Warm,D,D,3BA
D,-1,NuForce Primo 8,500,Dark,D,D,4BA
D,-1,Sound Linear Fitz 10 Flat,2200,Balanced,D,D,10BA
D,-1,Audio Technica ATH-CK3TW,100,V-shaped,D,D,DD
D,-1,Earsonics SM64v2,500,Warm,D,D,3BA
D,-1,TFZ 3S,65,V-shaped,D,D,DD
D-,-1,Campfire Vega (2020),900,Bassy,D+,D-,DD
D-,-1,ddHiFi Janus,250,Mid-centric,D-,D+,DD
D-,-1,Sony WF-SP800N,220,Bassy,D-,D+,DD
D-,-1,Westone UM Pro 50,750,Dark,D-,D+,5BA
D-,-1,Nuforce HEM4,330,Warm,D+,D-,2BA
D-,-1,Nuforce HEM6,450,Warm,D+,D-,3BA
D-,-1,Campfire Honeydew,250,Bassy,D-,D,DD
D-,-1,Dethonray Tender I,640,Balanced,D-,D,Planar
D-,-1,oBravo Ra 21 C,7000,Unique,D-,D,1AMT 1DD
D-,-1,Raycon E25,80,V-shaped,D-,D,DD
D-,-1,Seahf AWK-009,15,Bright,D,D-,DD
D-,-1,Shozy Elsa,750,Warm,D-,D,5BA
D-,-1,Westone UM Pro 10,150,Dark,D,D-,BA
D-,-1,Westone UM Pro 20,300,Warm V-shape,D-,D,2BA
D-,-1,Westone UM Pro 30,500,Warm V-shape,D-,D,3BA
D-,-1,RHA CL750,100,Bright,D-,D,DD
D-,-1,Shozy x AAW Hibiki,60,Bright,D,D-,DD
D-,-1,Audio Technica ATH-CKS5TW,150,Dark,D,D-,DD
D-,-1,Rhapsodio Clipper,55,Bassy,D,D-,
D-,-1,Effect Audio King Arthur,7000,Dark,D-,D-,16BA
D-,-1,Westone W10,250,Dark,D-,D-,BA
D-,-1,TFZ 1S,40,V-shaped,D-,D-,DD
D-,-1,Audio Technica ATH-CKR7TW,250,Bright,D-,D-,DD
D-,-1,Kinera YH263,70,Bassy,D-,D-,DD
E,-1,Hifiman RE800,700,Bright,E,B,DD
E,-1,RHA CL1,280,Bright,E,B,DD
E,-1,Empire Ears EVR Mk2,950,Neutral,E,B-,2EST 3BA
E,-1,Unique Melody 3DD-Ti,700,Bright,E,C+,3DD
E,-1,Final Audio LAB 2,7400,Unique,E,C,DD
E,-1,Hifiman TWS600,200,Mid-centric,E,C-,DD
E,-1,Kinera H3,100,V-shaped,E,C-,2BA 1DD
E,-1,oBravo Ra C-Cu,10000,Unique,E,D,1AMT 1DD
E,-1,Campfire IO,300,Balanced,E,D,2BA
E,-1,Fender Thirteen 6,1800,Dark,E,D,6BA 1DD
E,-1,Astrotec Volans,330,Warm,D,E,DD
E,-1,Final Audio Adagio 3,60,V-shaped,E,D,DD
E,-1,JH Audio Diana,700,Dark,E,D,3BA
E,-1,Shozy Ceres,180,Warm,E,D,1BA 1DD
E,-1,AAW A2H Pro V1,-1,Dark,D,E,1BA 1DD
E,-1,Sensaphonics 2MAX,850,Bright neutral,E,D,2BA
E,-1,Sensaphonics 2X-S,750,Bright neutral,E,D,2BA
E,-1,Sensaphonics 3MAX,1050,Warm,E,D,3BA
E,-1,Geek Wold GK3,20,Dark,E,D-,3DD
E,-1,Shozy x AAW Pola,800,Dark,E,D-,2EST 1DD
E,-1,Fischer Omega Spark,60,Bright,E,E,DD
E,-1,LEAR NatroSound NS-U1,250,Variable,E,E,2DD
E,-1,Sendiy M1221,200,V-shaped,E,E,1BA 1DD
E,-1,VE Monk IE Smalls,-1,Dark,E,E,DD
F,-1,VE Monk IE Biggie,-1,Dark,F,E,DD
F,-1,Delta Air complimentary earphones,0,Complete failure,F,F,DD
F,-1,SIA complimentary earphones,0,Dark,F,F,DD
F,-1,Oppo MH130,14,Complete failure,F,F,DD
